World Crude Oil Reserves (billion),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Bulgaria,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burma,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.139,0.139,0.139,0.139,0.139
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Canada,5.037984,4.89846,4.893642,4.839189,4.930827,4.930827,4.706104,4.858,180.021,178.893,178.8,178.7924,179.21,178.592,178.092,175.214,175.214,173.625225,173.105194,173.2,172.4809,170.863,169.708702,170.54,167.401306,169.862,170.3
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Chile,0.3,0.3,0.3,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
China,24,24,24,24,24,24,24,24,18.25,18.25,18.25,18.25,16,16,16,20.35,20.35,20.35,23.7168,24.3756,24.648842,25.132122,25.62,25.62732,25.92744,26.15436,26.0226
Colombia,3.393044,3.5,2.8,2.8,2.5772,2.5772,1.972,1.75,1.84229,1.84229,1.542,1.542,1.453,1.506,1.355,1.355,1.9,1.9876,2.2,2.377,2.445,2.308,2.002,1.66549,1.782208,1.96,2.036
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo-Brazzaville,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.515,1.785,1.784,1.905,1.94,1.94,1.94,2,2,2,2,2.673,2.867,2.982,2.982,2.982,2.982,2.982,2.982,2.882
Congo-Kinshasa,0.187,0.187,0.187,0.187,0.187,0.187,0.187,0.187,0.187,0.187,0.187,0.187,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Croatia,0.15,0.15,0.055111,0.055111,0.099168,0.092196,0.092196,0.092196,0.092196,0.075276,0.075275,0.069144,0.07432,0.07915,0.0793,0.07335,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
Cuba,0.1,0.1,0.1,0.255,0.2835,0.2835,0.2835,0.75,0.75,0.75,0.75,0.75,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,NA,0.006,0.006,0.006,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
Denmark,0.735908,1.031529,0.9571,0.861704,0.943477,1.069268,1.069268,1.1133,1.347,1.277,1.32,1.328,1.277,1.188,1.06,1.06,0.812,0.9,0.805,0.805094,0.611,0.551,0.490604,0.439,0.428,0.441,0.441
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,2.014,2.115,2.115,2.115,2.115,2.115,2.115,2.115,4.6296,4.6296,4.6296,4.6296,4.517,4.517,4.66,6.5,6.51,7.21,8.24,8.24,8.832,8.273,8.273,8.273,8.273,8.273,8.273
Egypt,3.26,3.87942,3.69617,3.83455,3.5,2.94756,2.94756,2.94756,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,4.4,4.4,4.4,4.4,4.4,4.4,4.4,3.57,3.3,3.3,3.3
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,NA,NA,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428,0.000428
Falkland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former Czechoslovakia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Former Serbia and Montenegro,0.0775,0.0775,0.0775,0.0775,0.0775,0.0775,0.0775,0.0775,0.0775,0.0775,0.0775,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Former U.S.S.R.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Former Yugoslavia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
France,0.15159,0.138312,0.117312,0.127368,0.107047,0.107047,0.14517,0.14004,0.148473,0.14847,0.14649,0.1584,0.1215,0.1198,0.1033,0.10115,0.091625,0.090012,0.085175,0.089573,0.084075,0.078431,0.072347,0.06685,0.061719,0.055855,0.061719
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ie,ie,ie,ie,ie,ie,ie,ie,0,0
French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,1.34,1.34,1.34,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Gambia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,NA,NA,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035
Germany,0.368398,0.33872,0.38535,0.41048,0.38849,0.356971,0.379694,0.3643,0.342311,0.442,0.394354,0.3672,0.367,0.367,0.276,0.276,0.276,0.276,0.25416,0.23256,0.14688,0.13248,0.14544,0.1296,0.11304,0.10224,0.1152
"Germany, East",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Germany, West",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Ghana,0.0005,0.016,0.01651,0.01651,0.01651,0.01651,0.01651,0.01651,0.01651,0.01651,0.01651,0.0165,0.015,0.015,0.015,0.015,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0.041,0.014,0.012,0.01,0.01,0.01,0.01,0.009,0.009,0.006,0.007,0.007,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ie,ie,ie,ie,ie,ie,ie,ie,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0.488,0.488,0.2,0.2,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.08307,0.08307,0.08307,0.08307,0.08307,0.08307,0.08307,0.08307,0.08307,0.08307,0.08307,0.08307,0.091633,0.089415,0.08611
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0.132143,0.128535,0.119542,0.127786,0.131376,0.109716,0.109716,0.110919,0.102484,0.102484,0.10248,0.10248,0.02018,0.02018,0.02018,0.026566,0.026566,0.031722,0.027321,0.027188,0.022,0.0286,0.0251,0.0204,0.0204,0.0183,0.0121
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,5.776,5.814,4.333064,4.339676,3.971993,4.8378,4.72785,4.84015,5.367173,5.3712,5.41687,5.84784,5.62464,5.62464,5.62464,5.62464,5.682,5.60635,5.476138,5.642794,5.674786,4.72879,4.622323,4.494504,4.423006,4.423006,4.604914
Indonesia,5.779,5.166867,4.97971,4.97971,4.97971,4.97971,4.97971,5,5,4.7,4.7,4.301,4.3,4.37,3.99,3.99,3.99,3.88534,4.03,3.74133,3.74133,3.6925,3.6,3.31,3.17,3.15,2.48
Iran,89.25,88.2,93,93,89.7,89.7,89.7,89.7,89.7,125.8,125.8,132.46,136.27,138.4,136.15,137.62,137.01,151.17,154.58,157.3,157.8,157.53,158.4,157.2,155.6,155.6,208.6
Iraq,100,100,112,112.5,112.5,112.5,112.5,112.5,112.5,115,115,115,115,115,115,115,115,143.1,141.35,140.3,144.211,143.069,142.503,148.766,147.223,145.019,145.019
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0.003295,0.004107,0.00409,0.00403,0.00393,0.0039,0.00387,0.00384,0.00381,0.00378,0.002,0.002,0.00196,0.00194,0.00194,0.00194,0.00194,0.0118,0.0115,0.013885,0.013953,0.013953,0.01273,0.01273,0.01273,0.01273,0.01273
Italy,0.6205,0.6205,0.684615,0.72927,0.621763,0.621763,0.621763,0.621763,0.6217,0.6217,0.6217,0.6217,0.6,0.4065,0.4065,0.423678,0.476445,0.52315,0.52128,0.560504,0.544522,0.579232,0.55672,0.487792,0.534407,0.517933,0.497934
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0.049329,0.048873,0.050407,0.060189,0.060189,0.058577,0.058577,0.058577,0.0585,0.0585,0.0585,0.0585,0.0585,0.044115,0.044115,0.044115,0.044115,0.044115,0.044115,0.044115,0.044115,0.044115,0.044115,0.044115,0.044115,0.044115,0.044115
Jordan,0.0003,0.0003,0.0003,0.0003,0.0003,0.0009,0.00089,0.00089,0.00089,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Kazakhstan,NA,NA,5.417,5.417,5.417,5.417,5.417,5.417,9,9,9,9,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,--,--,--,--,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,99,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5
Kyrgyzstan,NA,NA,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,22.8,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,36,39,39.126,41.464,41.464,43.66,44.27,46.42,47.1,48.01,48.47,48.363,48.363,48.363,48.363,48.363,48.363,48.363
Lithuania,NA,NA,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,4.3,4.3,4,3.9,3.9,3.9,3.9,3,3,3,3,3,3,4,4,4,4,4,4,4,3.8,3.6,3.6,3.6,3.6,3.6,3.6
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ie,ie,ie,ie,ie,ie,ie,ie,0,0
Mauritania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,50.776,49.775,48.796,40,47.822,28.399,28.26,26.941,12.622,15.674,14.6,12.8822,12.352,11.65,10.5012,10.404,10.42,10.3591,10.2639,10.073,9.812,9.711,7.2585,7.2189,6.427,5.7861,5.7861
Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,NA,
Moldova,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montenegro,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0.001736,0.00119,0.00119,0.001966,0.001966,0.001904,0.0018,0.0018,0.0016,0.0016,0.0016,0.001069,0.000988,0.000836,0.000752,0.000752,0.000684,0.000684,0.000684,0.000684,0.000684,0.000684,0.000684,0.000684,0.000684,0.000684,0.000684
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0.113217,0.106927,0.088057,0.113217,0.125796,0.106927,0.106927,0.106927,0.106,0.106,0.106,0.106,0.1,0.1,0.1,0.1,0.31,0.2874,0.243858,0.149697,0.144665,0.140892,0.113216,0.081129,0.07422,0.114474,0.137747
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,0.1366,0.104,0.13505,0.14529,0.127,0.127,0.127,0.089533,0.1897,0.0545,0.05148,0.053,0.053,0.055,0.06,0.06,0.1125,0.0961,0.0814,0.0784,0.0672,0.0641,0.0569,0.058708,0.048538,0.043296,0.040993
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Nigeria,17.89982,20.828,15.52088,16.786,22.5,22.5,22.5,24,24,25,35.255,35.876,36.22,36.22,36.22,37.2,37.2,37.2,37.2,37.14,37.07,37.07,37.062,37.453,36.182,36.972,36.89
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,NA,
Norway,9.415846,8.422056,11.2336,10.422215,10.91282,10.787024,9.44729,9.44729,10.265,10.44737,8.5,7.705,7.8493,6.865325,6.68,6.68,5.67,5.32,5.366,5.825,5.497285,5.138767,6.61058,7.717075,8.047227,8.219287,8.122151
Oman,4.828,5.138,5.138,5.238,5.283,5.283,5.506,5.506,5.506,5.506,5.506,5.506,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.9743,5.151,5.306,5.373,5.373,5.373,5.373,5.373
Pakistan,0.203284,0.203284,0.208,0.208,0.208,0.208,0.208,0.298237,0.310443,0.288675,0.288675,0.289202,0.289202,0.289202,0.339,0.313,0.313,0.280647,0.24753,0.341932,0.371,0.3535,0.35063,0.332166,0.34283,0.568446,0.54
Palestinian ,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,0.229,0.4,0.275,0.325,0.333,0.333,0.3598,0.238345,0.24,0.24,0.24,0.24,0.24,0.088,0.088,0.088,0.088,0.182,0.15426,0.185934,0.175179,0.180249,0.15942,0.183826,0.171429,0.158157,0.159656
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
